source_inventory_id,redacted_source_path,programme,functional_area,sensitivity,duplicate_group_id,proposed_drive_folder,canonical_resource_type,target_canonical_asset_id,target_file_type,owner_role,website_section,consolidation_action,notes
SRC-000001,Journey - Boys - Paul/.DS_Store,Boys,Other,internal-source,,17 Archive Register,Archive Reference Library,CAN-ARCHIVE-REFERENCE-LIBRARY,Drive file reference,Oversight Lead,Library,review-for-canonical-resource,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000002,Journey - Boys - Paul/1. Planning and Onboarding/Equipment sheet.xlsx,Boys,Equipment,internal-source,,11 Logistics and Equipment,Equipment Template Set,CAN-EQUIPMENT-TEMPLATE-SET,Google Sheet,Logistics Lead,Operations,review-for-canonical-resource,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000003,Journey - Boys - Paul/1. Planning and Onboarding/Journey Roles.pptx,Boys,Roles,internal-source,DUP-6C4EA06C75,03 Governance and Roles,Role Descriptions And RACI,CAN-ROLE-DESCRIPTIONS-AND-RACI,Google Slides or training page,Oversight Lead,Team,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000004,Journey - Boys - Paul/1. Planning and Onboarding/TJ26-1 Information Session.pptx,Boys,Weekly sessions,internal-source,DUP-001E6F9CF1,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Slides or training page,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000005,REDACTED-SENSITIVE-SOURCE/SRC-000005.docx,Boys,Onboarding,restricted-source,DUP-BECFFA26E8,05 Participant Onboarding,Participant Onboarding Pack,CAN-PARTICIPANT-ONBOARDING-PACK,Private review packet,Administration Lead,Start,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000006,REDACTED-SENSITIVE-SOURCE/SRC-000006.xlsx,Boys,Administration,restricted-source,DUP-45CD2A77A5,10 Administration,Administration Template Set,CAN-ADMINISTRATION-TEMPLATE-SET,Google Sheet private template,Administration Lead,Operations,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000007,Journey - Boys - Paul/2. Sessions/5. Dads Talk - Identity 2.pptx,Boys,Weekly sessions,internal-source,DUP-357DBF72F8,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Slides or training page,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000008,Journey - Boys - Paul/2. Sessions/Dads Talk Workbook - April 2024.pdf,Historical,Weekly sessions,internal-source,DUP-90093BF46F,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Doc or Markdown page,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000009,Journey - Boys - Paul/2. Sessions/JOURNEY DTS PLAYBOOK.xlsx,Boys,Weekly sessions,internal-source,,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Sheet,Session Coordinator,Sessions,review-for-canonical-resource,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000010,Journey - Boys - Paul/2. Sessions/Mom Prep Video URLs.docx,Boys,Weekly sessions,internal-source,DUP-33A9D6B638,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Doc or Markdown page,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000011,Journey - Boys - Paul/2. Sessions/Mother Father Wounds Revealed and healed.pdf,Boys,Weekly sessions,internal-source,DUP-9E130908F6,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Doc or Markdown page,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000012,Journey - Boys - Paul/2. Sessions/Rewiring Homework for dads.docx,Boys,Weekly sessions,internal-source,DUP-B35FBC5045,06 Weekly Sessions,Weekly Session Library,CAN-WEEKLY-SESSION-LIBRARY,Google Doc or Markdown page,Session Coordinator,Sessions,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000013,Journey - Boys - Paul/2. Sessions/TJ26-1 Boys ROP.pptx,Boys,Rite of passage,internal-source,DUP-D95C11E28C,09 Rite of Passage,Rite Of Passage Pack,CAN-RITE-OF-PASSAGE-PACK,Google Slides or training page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000014,Journey - Boys - Paul/3. Kick-off Camp/TJ26-1 Camping List - Kick-off camp.xlsx,Boys,Kickoff camp,internal-source,DUP-996C4B2002,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Google Sheet,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000015,Journey - Boys - Paul/3. Kick-off Camp/TJ26-1 Kick-off Camp - Activity - Father and Son questions.docx,Boys,Kickoff camp,internal-source,DUP-352280599B,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Google Doc or Markdown page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000016,REDACTED-SENSITIVE-SOURCE/SRC-000016.pptx,Boys,Kickoff camp,restricted-source,DUP-1CDB463189,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Private review packet,Camp Director,Events,review-redact-and-rebuild-as-synthetic-template,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000017,Journey - Boys - Paul/3. Kick-off Camp/TJ26-1 Kick-off program.docx,Boys,Kickoff camp,internal-source,DUP-6BC72838E9,07 Kickoff Camp,Kickoff Camp Pack,CAN-KICKOFF-CAMP-PACK,Google Doc or Markdown page,Camp Director,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000018,Journey - Boys - Paul/4. Compass Evening/Compass Evening Info.pdf,Boys,Compass Evening,internal-source,DUP-3E3E5BF1BD,08 Compass Evening,Compass Evening Pack,CAN-COMPASS-EVENING-PACK,Google Doc or Markdown page,Logistics Lead,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000019,Journey - Boys - Paul/4. Compass Evening/Practical Set up - GPX Co-ordinates/Compass - Bearing Quick View.pdf,Boys,Compass Evening,internal-source,DUP-7CD46AADB4,08 Compass Evening,Compass Evening Pack,CAN-COMPASS-EVENING-PACK,Google Doc or Markdown page,Logistics Lead,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000020,Journey - Boys - Paul/4. Compass Evening/Practical Set up - GPX Co-ordinates/Compass Co-ordinate Set up - Quick View.pdf,Boys,Compass Evening,internal-source,DUP-7CD46AADB4,08 Compass Evening,Compass Evening Pack,CAN-COMPASS-EVENING-PACK,Google Doc or Markdown page,Logistics Lead,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000021,Journey - Boys - Paul/4. Compass Evening/Practical Set up - GPX Co-ordinates/Compass Evening - Set up View.pdf,Boys,Compass Evening,internal-source,DUP-AA16A5CE5C,08 Compass Evening,Compass Evening Pack,CAN-COMPASS-EVENING-PACK,Google Doc or Markdown page,Logistics Lead,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000022,Journey - Boys - Paul/4. Compass Evening/Practical Set up - GPX Co-ordinates/Compass Evening - Watcher View.pdf,Boys,Compass Evening,internal-source,DUP-008014A424,08 Compass Evening,Compass Evening Pack,CAN-COMPASS-EVENING-PACK,Google Doc or Markdown page,Logistics Lead,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000023,Journey - Boys - Paul/4. Compass Evening/Practical Set up - GPX Co-ordinates/Field Plan Route Example.PNG,Boys,Compass Evening,internal-source,DUP-DED995E295,08 Compass Evening,Compass Evening Pack,CAN-COMPASS-EVENING-PACK,Drive file reference,Logistics Lead,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000024,Journey - Boys - Paul/4. Compass Evening/Practical Set up - GPX Co-ordinates/Field Plan.PNG,Boys,Compass Evening,internal-source,DUP-3C7929F658,08 Compass Evening,Compass Evening Pack,CAN-COMPASS-EVENING-PACK,Drive file reference,Logistics Lead,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
SRC-000025,Journey - Boys - Paul/4. Compass Evening/Practical Set up - GPX Co-ordinates/Orienteering Co-Ordinate Master Sheet .xlsx,Boys,Compass Evening,internal-source,DUP-85403EBCE9,08 Compass Evening,Compass Evening Pack,CAN-COMPASS-EVENING-PACK,Google Sheet,Logistics Lead,Events,deduplicate-into-canonical-or-historical-example,"Use source only through privacy-safe summary, template rebuild, or approved historical example."
