canonical_asset_id,title,target_drive_folder,target_file_type,google_native_target,owner_role,website_section,status,source_count,priority,next_action
CAN-START-HERE-GUIDE,Start Here Guide,00 Start Here,Google Doc / website page,yes,Journey Lead,Start,approved-after-review,0,P1,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-JOURNEY-PURPOSE-AND-PROGRAMME-MAP,Journey Purpose And Programme Map,01 Foundations,Google Doc / website page,yes,Journey Lead,Foundations,review-required,2,P1,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-START-A-JOURNEY-LAUNCH-PACK,Start A Journey Launch Pack,02 Start a Journey,Google Doc plus checklist Sheet,yes,Journey Lead,Start,draft,0,P2,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-OPERATING-MODEL-AND-DECISION-RIGHTS,Operating Model And Decision Rights,03 Governance and Roles,Google Doc,yes,Journey Lead,Team,review-required,0,P1,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-ROLE-DESCRIPTIONS-AND-RACI,Role Descriptions And RACI,03 Governance and Roles,Google Sheet plus Docs,yes,Oversight Lead,Team,draft,3,P1,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-LEADER-TRAINING-PACK,Leader Training Pack,04 Leader Training,Google Slides / Docs,yes,Session Coordinator,Team,draft,0,P2,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-PARTICIPANT-ONBOARDING-PACK,Participant Onboarding Pack,05 Participant Onboarding,Google Doc plus private tracker Sheet,yes,Administration Lead,Start,review-required,5,P1,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-WEEKLY-SESSION-LIBRARY,Weekly Session Library,06 Weekly Sessions,Website pages plus Docs,yes,Session Coordinator,Sessions,review-required,193,P1,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-KICKOFF-CAMP-PACK,Kickoff Camp Pack,07 Kickoff Camp,Google Doc plus readiness Sheet,yes,Camp Director,Events,draft,55,P2,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-COMPASS-EVENING-PACK,Compass Evening Pack,08 Compass Evening,Google Doc plus setup Sheet,yes,Logistics Lead,Events,draft,64,P2,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-RITE-OF-PASSAGE-PACK,Rite Of Passage Pack,09 Rite of Passage,Google Doc plus readiness Sheet,yes,Camp Director,Events,review-required,83,P1,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-ADMINISTRATION-TEMPLATE-SET,Administration Template Set,10 Administration,Google Sheets,yes,Administration Lead,Operations,draft,11,P1,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-LOGISTICS-TEMPLATE-SET,Logistics Template Set,11 Logistics and Equipment,Google Sheets,yes,Logistics Lead,Operations,draft,0,P1,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-FINANCE-TEMPLATE-SET,Finance Template Set,12 Finance,Google Sheets,yes,Finance Lead,Operations,review-required,65,P1,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-COMMUNICATIONS-TEMPLATE-SET,Communications Template Set,13 Communications,Google Docs / Sheets,yes,Communications Lead,Operations,draft,0,P2,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-SAFETY-AND-SAFEGUARDING-PACK,Safety And Safeguarding Pack,14 Safety and Safeguarding,Google Docs / Sheets,yes,Safety Lead,Safety,review-required,0,P1,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-QUALITY-AND-IMPACT-PACK,Quality And Impact Pack,15 Quality and Impact,Google Docs / Sheets,yes,Oversight Lead,Quality,draft,0,P2,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-LOCAL-EXAMPLES-LIBRARY,Local Examples Library,16 Local Examples,Drive folders,yes,Knowledge Management Lead,Library,historical-example,0,P2,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-ARCHIVE-REGISTER-AND-PROVENANCE,Archive Register And Provenance,17 Archive Register,Google Sheet,yes,Knowledge Management Lead,Library,draft,0,P2,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
CAN-APPROVED-MEDIA-LIBRARY,Approved Media Library,18 Website Source Exports,Drive folder / media register,yes,Communications Lead,Library,review-required,4,P1,"Create or improve consolidated template, link it to website resource library, and route human-review items where needed."
