Build ID,Website layer,Prerequisite gate / decision,Build item,Source surface,Owner role,Required approval before start,Build status,Approved scope / decision ref,Target environment / URL,Evidence / artifact link,Validation required,Update target after accepted,Non-publication boundary
BLD-001,Source of truth and access boundary,GATE-005; DEC-004; TASK-015,"Confirm Drive, Sheets, prototype and production responsibilities before technical build starts.",Website Access Review; Leadership Decision Capture LDC-015; Alpha-style benchmark brief,Oversight Lead,Website approving authority,Blocked until prerequisites accepted,,,,Access model accepted; source-of-truth rule stated; no restricted data in public build.,Website Access Review; DEC-004; TASK-015; GATE-005,Does not approve website access or broaden sharing without recorded authority.
BLD-002,Information architecture,GATE-006; WCR-001 through WCR-020,"Map public, protected, restricted and withheld areas into site navigation and sitemap.",Website Content Review; Website Content Approval Templates,Knowledge Management Lead,Website approving authority,Needs access approval,,,,Navigation shows access class for every area and excludes withheld/restricted material.,Website Content Review; Website Access Review; GATE-006,Does not publish a sitemap or public navigation until access decisions are accepted.
BLD-003,Content freeze,GATE-006; HR-007,"Freeze approved original copy, content scope, media use and no-copy Alpha boundaries.",Website Content Review; Alpha-style benchmark brief; Copyright Boundary Review Packet,Communications Lead,Copyright/legal reviewer,Needs copyright approval,,,,"All public/protected copy has approved source, owner and permission status.",Website Content Review; Human Review HR-007; GATE-006,"Does not copy Alpha wording, assets, screenshots, media or branded materials."
BLD-004,Public overview,GATE-006; DEC-006,"Build Journey overview, purpose, audience, pathway and next-step pages from approved original content.",Website Content Review; START HERE; Canonical Resources,Communications Lead,Website approving authority,Needs content approval,,,,Approved page copy and public-safe content scope are linked before build.,Website Content Review; DEC-006; TASK-016,Does not make private operating content public.
BLD-005,Explanation videos,GATE-006; HR-007,"Embed or link only approved explanation videos with permissions, captions and replacement plan.",Website Content Review; Copyright Boundary Review Packet,Communications Lead,Copyright/legal reviewer,Needs copyright approval,,,,"Video permission, caption/accessibility check and fallback content are recorded.",Website Content Review; Human Review HR-007; GATE-006,Does not embed third-party videos or Alpha media without permission.
BLD-006,Dates and schedule,GATE-006; TASK-016,Create schedule/date surface using approved event data and publish-state labels.,Event Readiness; Website Content Review,Logistics Lead,Website approving authority,Needs content approval,,,,"Dates are approved, current, owned and safe for intended audience.",Event Readiness; Website Content Review; TASK-016,Does not expose unapproved dates or private planning details.
BLD-007,Leader resource library,GATE-005; GATE-006,"Build leader-only resource navigation for templates, packets, canonical docs and review materials.",Resource Library Index; Website Access Review,Knowledge Management Lead,Website approving authority,Needs access approval,,,,"Leader-only access rules, document links and withheld materials are checked.",Resource Library Index; Website Access Review; GATE-005,Does not broaden Drive sharing or reveal restricted resources.
BLD-008,Planning templates,GATE-006; TASK-016,"Expose approved planning templates, agenda packs, sign-off templates and delegation tools.",templates/operations; templates/communications; Website Content Review,Knowledge Management Lead,Website approving authority,Needs content approval,,,,"Each template has approved access class, owner and source-of-truth link.",Website Content Review; Resource Library Index; TASK-016,Does not treat templates as completed approvals.
BLD-009,Leader assignments,GATE-001; DEC-003,Design editable delegation and role-assignment surface fed by approved Leader Roster fields only.,Leader Roster; Owner Appointment Routing; Leadership Decision Capture,Journey Lead,Programme governance authority,Blocked until prerequisites accepted,,,,"Only approved names, roles, backups and authority evidence are surfaced.",Leader Roster; DEC-003; GATE-001,Does not invent leaders or copy source-derived names into public/prototype files.
BLD-010,Management dashboard,GATE-001 through GATE-006,"Surface launch gates, task status, decisions and readiness metrics without exposing restricted details.",Dashboard; Launch Gates; Gate Evidence Checklist,Oversight Lead,Programme governance authority,Needs authority approval,,,,"Metrics are source-linked, non-sensitive and consistent with live tracker formulas.",Dashboard; Launch Gates; TASK-016,Does not hide open gates or imply readiness from prototype metrics.
