Session item ID,Meeting sequence,Objective area,Linked OIB row,Decision/evidence prompt,Required human roles,Pre-work evidence to bring,Live capture field,Follow-up update target,Follow-up owner role,Status,Target date,Evidence link / notes,Non-approval boundary
ISP-001,1,Open session and confirm authority,OIB-001..OIB-006,"Confirm who is present, who has authority to decide, and what evidence can be recorded today.",Journey Lead; Oversight Lead; programme owner if available,"START HERE, Organizational Implementation Board, Launch Gates, Leadership Review Agenda",,Leadership Review Outputs; Organizational Implementation Board,Journey Lead,Ready to schedule,,,Does not create authority where it has not been granted.
ISP-002,2,Appoint owners and governance fields,OIB-001,"Identify nominated owner candidates, backups, training readiness and final decision-rights approver.",Programme owner; Journey Lead; Oversight Lead; HR-005 reviewer,"Owner Appointment Routing, Owner Evidence Review, Governance Authority Review, Owner Appointment Confirmation Templates",,Leader Roster; Owner Appointment Routing; Governance Authority Review; DEC-003; TASK-010; TASK-011,Journey Lead,Ready to schedule,,,Does not enter real names until programme-owner confirmation and access rules are accepted.
ISP-003,3,Complete seven human-review gates,OIB-002,"Assign qualified reviewers for HR-001 through HR-007, target dates and packet routing.",Oversight Lead; safeguarding/legal/medical/theology/governance/content/copyright reviewers,"Human Review Routing, Human Review packets, Human Review Sign-off Templates, HUMAN-REVIEW-REQUIRED.md",,Human Review Routing; Human Review; TASK-012; GATE-002,Oversight Lead,Ready to schedule,,,Does not approve HR-001 through HR-007 or record final sign-off.
ISP-004,4,Plan pilot one real Journey cycle,OIB-003,"Confirm pilot scope, attendees, walkthrough date, evidence-capture rules and debrief owner.",Journey Lead; Session Coordinator; workstream leads,"Pilot Cycle Plan, Pilot Log, Pilot Run Sheet, Debrief Packet",,Pilot Cycle Plan; Pilot Log; Event Readiness; TASK-013; GATE-003,Journey Lead,Ready to schedule,,,Does not run the pilot or accept pilot findings.
ISP-005,5,Approve restricted-data replacement pathway,OIB-004,"Decide allowed restricted storage location, access group, fields, retention and duplicate-copy cleanup rule.",Administration Lead; accountable data owner; Safety Lead; Finance Lead if needed,"Restricted Data Replacement Checklist, Restricted Data Placement Approval Templates, Template Acceptance Checklist",,DEC-005; TASK-014; restricted workbooks; data cleanup folder,Administration Lead,Review required,,,"Does not move or expose real names, participant, medical or financial data."
ISP-006,6,Decide website access model,OIB-005,"Select leaders-only, partly public/protected, or public info plus authenticated operational tools; classify each area.",Oversight Lead; website approving authority; HR-005; HR-007; Knowledge Management Lead,"Website Access Review, Website Access Model Decision Templates, Website Content Review, benchmark brief",,Website Access Review; DEC-004; TASK-015; GATE-005,Oversight Lead,Review required,,,"Does not approve access, sharing, public navigation or publication."
ISP-007,7,Confirm production website prerequisites,OIB-006,Identify evidence still missing before build start and publication go/no-go can be considered.,Knowledge Management Lead; production publishing authority; content/copyright reviewers,"Website Build Backlog, Website Content Review, Publication Approval Templates, operating hub prototype",,Website Build Backlog; DEC-006; TASK-016; Event Readiness; GATE-006,Knowledge Management Lead,Blocked,,,"Does not build, deploy, publish or close GATE-006."
ISP-008,8,Capture decisions and conditions,OIB-001..OIB-006,"Record only decisions with named accountable authority, evidence links, conditions and follow-up owner.",Journey Lead; Oversight Lead; relevant accountable roles,"Leadership Decision Capture, Leadership Review Outputs, Gate Evidence Checklist",,Leadership Decision Capture; Leadership Review Outputs; Gate Evidence Checklist,Oversight Lead,Ready to schedule,,,Does not treat discussion notes as approval.
ISP-009,9,Route follow-up communications,OIB-001..OIB-006,"Identify role-only messages, external recipients, deadlines and response evidence without storing private contact details.",Communications Lead; Journey Lead; Oversight Lead,"Leadership Review Communications, Leadership Review Message Templates",,Leadership Review Communications; Communications tab,Communications Lead,Ready to schedule,,,Does not send messages or store private contact details.
ISP-010,10,Close session and update dashboard,OIB-001..OIB-006,Review remaining pending actions and update OIB status only where evidence is present.,Journey Lead; Oversight Lead; Knowledge Management Lead,"Dashboard row 27, OIB, Launch Gates, Next 30 Days",,Organizational Implementation Board; NEXT-STAGE-IMPLEMENTATION; RUN_LOG,Knowledge Management Lead,Ready to schedule,,,Does not close launch gates without required proof.
