Improvement ID,Template area,Current source / bundle,Improved output target,Owner role,Review status,Output format,Simplification goal,Reuse rule,Dependencies,Reviewer / approval needed,Website / Drive placement,Quality evidence,Boundary
TIQ-001,Start and launch routing,"START HERE, Start a Journey Launch Pack and Launch Gate Review Pack",One-page launch pathway and gate-review packet index,Journey Lead,Review required,Google Doc,Reduce launch entrypoints to one current pathway with clear next actions.,"Keep START HERE as doorway; keep detailed packs linked, not duplicated.",DRQ-002; GATE-001 through GATE-006,Journey leadership team,START HERE; 00 Start Here; operating hub Start view,Quality rows 39-41 and 56,"Does not close launch gates, approve schedule or broaden access."
TIQ-002,"Roles, RACI and owner appointment","Leader Roster, Owner Appointment Routing, responsibility matrix and owner confirmation templates",Role assignment workbook view plus concise appointment template,Journey Lead,Review required,Mixed Doc and Sheet,"Make each role, backup and authority requirement easy to assign once approved.",Use role placeholders until programme owner approves real names.,DRQ-003; DEC-003; HR-005,Programme governance authority,Leader Delegation tracker; Governance and Roles pack; Team view,Quality rows 34 and 56,"Does not appoint leaders, approve authority or store contact details."
TIQ-003,Leader training and onboarding,"Leader Training Pack, message templates and owner-readiness trackers",Leader training checklist and reusable briefing template,Knowledge Management Lead,Review required,Mixed Doc and Sheet,Turn training content into a repeatable checklist with evidence capture.,Keep theological/safeguarding content marked review-required until accepted.,HR-001; HR-004; HR-005,Programme content owner,Leader Training pack; Template Bundles view,Canonical Resources and Human Review evidence,"Does not approve curriculum, theology, safeguarding or final training readiness."
TIQ-004,Participant onboarding and registration,"Participant onboarding pack, registration process and communications templates",Participant onboarding checklist and registration communications pack,Administration Lead,Review required,Mixed Doc and Sheet,"Clarify intake steps, status fields, parent/guardian communication and privacy prompts.",Use synthetic examples until data owner approves real local fields and locations.,DRQ-007; DEC-005; TASK-014,Accountable data owner,Participant Onboarding pack; Administration workbook,Restricted source rows and privacy instruction,Does not collect participant data or approve restricted-data placement.
TIQ-005,Weekly sessions and facilitation,"Weekly Session Library, session templates and review forms",Session facilitation template with review and localization prompts,Session Coordinator,Review required,Google Doc,Create one consistent session flow while preserving review-required content labels.,Keep boys/girls/theology-sensitive content behind human review gates.,HR-004; HR-006; local pilot evidence,Programme content owner,Weekly Session Library; Template Bundles view,Human Review and pilot evidence rows,"Does not approve session content, gender-specific content or theology."
TIQ-006,"Camps, events and rite-of-passage packs","Kickoff Camp Pack, Compass Evening Pack, Rite of Passage Pack and event templates",Event run sheet and safety-ready checklist family,Camp Director,Review required,Mixed Doc and Sheet,"Separate programme flow, logistics, safety and approval evidence for repeat events.",Keep rite-of-passage and girls content review-required until qualified sign-off.,HR-001; HR-003; HR-004; HR-006,Journey leadership team,Kickoff Camp; Compass Evening; Rite of Passage folders,Human Review packets and Event Readiness,"Does not approve event readiness, safeguarding, medical or programme content."
TIQ-007,Administration trackers,"Attendance, participant status, consent, medical-form status and waiting-list trackers",Admin control workbook with minimum necessary fields,Administration Lead,Review required,Google Sheet,Reduce duplicated status fields and isolate restricted data to approved locations.,Use synthetic columns until data-owner approval confirms exact fields.,DRQ-007; DEC-005; TASK-014,Accountable data owner,Administration workbook; Resource Library Index,Restricted-source count and privacy checks,Does not authorize real data migration or access expansion.
TIQ-008,Finance and payment templates,"Budget, cost calculator, payment schedule, expense and subsidy templates",Finance control workbook and short approval guide,Finance Lead,Review required,Mixed Doc and Sheet,Consolidate budget and payment views without importing private financial records.,Keep examples synthetic; store banking/payment data only in approved restricted locations.,DRQ-007; finance pack review,Accountable data owner,Finance workbook; Finance guide,Privacy and finance quality checks,"Does not approve budgets, payments, banking data handling or reimbursements."
TIQ-009,Logistics and equipment,"Equipment register, checkout, purchasing, storage, supplier and transport templates",Logistics workbook with checkout and condition workflow,Logistics Lead,Review required,Google Sheet,"Use one register for equipment state, handoff, purchase and storage decisions.",Keep supplier/contact/private details out until access rules are accepted.,DRQ-007; logistics pack review,Journey leadership team,Logistics and Equipment workbook,Canonical Resources and privacy checks,"Does not approve purchases, suppliers, transport or private contact storage."
TIQ-010,"Safety, safeguarding and medical readiness","Safety pack, risk assessments, medical readiness, incident and medication templates",Safety workbook and review-required policy template family,Safety Lead,Review required,Mixed Doc and Sheet,Separate operational checklist fields from qualified-review policy decisions.,"Keep all safeguarding, medical and legal decisions review-gated.",HR-001; HR-002; HR-003,Qualified safeguarding professional,Safety and Safeguarding pack; Human Review packets,Human Review rows HR-001 through HR-003,"Does not approve safety policy, medical process, legal compliance or safeguarding decisions."
TIQ-011,Communications templates,"Leadership Review Communications, message templates and participant communication examples","Message family with audience, trigger, approval and send-status fields",Communications Lead,Review required,Mixed Doc and Sheet,Remove duplicate wording and keep role-only send workflows traceable.,Do not store contact details or send messages from this queue.,DRQ-008; Leadership Review Communications,Journey leadership team,Communications pack; Template Bundles view,Communications quality evidence,"Does not send messages, upload contact lists or approve commitments."
TIQ-012,"Quality, impact and post-event review","Journey readiness review, event quality checklist, feedback, impact and follow-up templates",Quality improvement workbook and post-event review template,Knowledge Management Lead,Review required,Mixed Doc and Sheet,Create one continuous-improvement loop from review evidence to accepted changes.,Keep participant feedback synthetic or anonymized until data-owner approval.,Pilot evidence; Leadership Review Outputs; DRQ-005,Journey leadership team,Quality and Impact pack; Resource Library dashboard,Pilot evidence and leadership outputs,"Does not approve impact claims, participant data use or public reporting."
