inventory_id,extension,functional_area,priority,sensitivity,action
SRC-000002,.xlsx,Equipment,medium,internal-source,Convert to sanitized reference note.
SRC-000003,.pptx,Roles,medium,internal-source,Convert to sanitized reference note.
SRC-000004,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000005,.docx,Onboarding,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000006,.xlsx,Administration,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000007,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000008,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000009,.xlsx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000010,.docx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000011,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000012,.docx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000013,.pptx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000014,.xlsx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000015,.docx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000016,.pptx,Kickoff camp,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000017,.docx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000018,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000019,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000020,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000021,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000022,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000023,.png,Compass Evening,high,internal-source,Catalogue and review for future use.
SRC-000024,.png,Compass Evening,high,internal-source,Catalogue and review for future use.
SRC-000025,.xlsx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000026,.xlsx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000027,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000028,.docx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000029,.xlsx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000030,.docx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000031,.pptx,Compass Evening,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000032,.pdf,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000033,.pdf,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000034,.pdf,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000035,.docx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000036,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000037,.mp4,Rite of passage,high,internal-source,Catalogue and review for future use.
SRC-000038,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000039,.docx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000040,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000041,.xlsx,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000042,.pptx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000043,.pptx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000044,.xlsx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000045,.pdf,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000046,.pdf,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000047,.xlsx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000048,.jpeg,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000049,.jpeg,Kickoff camp,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000051,.xlsx,Equipment,medium,internal-source,Convert to sanitized reference note.
SRC-000052,.xlsx,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000053,.xlsx,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000054,.docx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000055,.xlsx,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000056,.xlsx,Administration,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000057,.xlsx,Other,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000058,.xlsx,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000059,.pdf,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000060,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000061,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000062,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000063,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000064,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000065,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000066,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000067,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000068,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000069,.docx,Finance,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000070,.xlsx,Other,medium,internal-source,Convert to sanitized reference note.
SRC-000071,.xlsx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000072,.pdf,Compass Evening,high,internal-source,Convert to sanitized reference note.
SRC-000073,.pdf,Compass Evening,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000074,.docx,Rite of passage,high,internal-source,Convert to sanitized reference note.
SRC-000075,.docx,Kickoff camp,high,internal-source,Convert to sanitized reference note.
SRC-000076,.xlsx,Administration,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000077,.xlsx,Rite of passage,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000079,.xlsx,Equipment,medium,internal-source,Convert to sanitized reference note.
SRC-000080,.xlsx,Equipment,medium,internal-source,Convert to sanitized reference note.
SRC-000081,.pptx,Roles,medium,internal-source,Convert to sanitized reference note.
SRC-000082,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000083,.docx,Onboarding,high,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000084,.xlsx,Administration,review,restricted-source,Keep source private; use only redacted summary or synthetic template.
SRC-000085,.pptx,Weekly sessions,high,internal-source,Convert to sanitized reference note.
SRC-000086,.pdf,Weekly sessions,high,internal-source,Convert to sanitized reference note.
