Content ID,Website Area,Intended Audience,Source Or Resource,Content Type,Proposed Access,Required Review,Current Status,Owner Role,Dependency,Public Safe Summary,Restricted Content Handling,Decision Evidence,Notes
WCR-001,Public overview / what is The Journey,Public,docs/01-foundations/journey-purpose.md,Content page,Public candidate,HR-004 theology; HR-005 operating authority,Needs authority review,Oversight Lead,DEC-004 access model; HR-007 copyright boundary,Plain-language programme overview using Journey-owned wording only.,"No private names, locations, participant stories or third-party assets.",,Confirm approved wording before public use.
WCR-002,Start a Journey / host pathway,Public,docs/02-start-a-journey/start-a-journey-guide.md,Content page,Public candidate,HR-005 operating authority; data-owner review,Needs content review,Journey Lead,DEC-004 access model; participant-data rules,Describe the pathway without collecting sensitive information too early.,Operational intake details stay in protected tools until approved.,,Use this only after authority confirms who may respond.
WCR-003,Interest and sign-up flow,Public or protected,templates/administration/participant-registration-process.md,Form/workflow,Decision required,Privacy and data-owner approval,Needs data-owner review,Administration Lead,DEC-005 restricted data placement; DEC-004 access model,Explain next contact step without exposing participant records.,"Forms, raw submissions and private contact data stay restricted.",,"Do not publish a form until storage, owner and retention are approved."
WCR-004,Explanation videos and teaching content,Leaders,docs/04-leader-training/leader-training-plan.md,Video/script library,Protected leader area,HR-004 theology; HR-007 copyright boundary,Needs copyright review,Session Coordinator,Approved media/library permissions,Use only Journey-owned or explicitly permitted media and scripts.,Do not embed third-party or Alpha media without permission.,,Public video use requires content and copyright approval.
WCR-005,Leader resource library,Leaders,templates/operations/Journey-Drive-Resource-Library-Index.xlsx,Resource directory,Protected leader area,HR-005 operating authority; HR-007 copyright boundary,Needs content review,Knowledge Management Lead,Drive access group approval,"Show resource names, status and review labels.",Draft or review-required resources must not look approved.,,Drive remains source of truth.
WCR-006,Weekly session index,Leaders,docs/06-weekly-sessions/weekly-session-index.md,Resource directory,Protected leader area,HR-004 theology; HR-006 girls programme content,Needs theology review,Youth Track Lead,Human Review HR-004 and HR-006,Index sessions and show review-required labels.,Facilitator detail remains protected until approved.,,"Missing girls content must be named, not invented."
WCR-007,Facilitator notes and discussion prompts,Leaders,docs/06-weekly-sessions/,Pack content,Protected leader area,HR-004 theology; HR-006 girls programme content,Needs content review,Youth Track Lead,Session pack review,Provide facilitator-ready structure after review.,"Pastoral, sensitive or age-specific detail stays protected.",,Keep adaptation boundaries visible.
WCR-008,Kickoff Camp public rhythm and dates,Families or leaders,docs/07-kickoff-camp/kickoff-camp-pack.md,Event information,Decision required,HR-001 safeguarding; HR-002 legal; HR-003 medical; HR-005 authority,Needs safety review,Camp Director,Event Readiness; venue/safety review,Public-safe event rhythm without detailed logistics.,"Venue, transport, supervision and emergency details stay restricted.",,Dates require authority and safety sign-off.
WCR-009,Compass Evening overview,Families or leaders,docs/08-compass-evening/compass-evening-pack.md,Event information,Decision required,HR-005 authority; safety/logistics review,Needs content review,Logistics Lead,Event Readiness; location-specific adaptation review,Explain purpose and high-level timing only.,"Exact setup, directions and location data stay protected until approved.",,Do not generalize local historical setup as universal.
WCR-010,Rite of Passage overview,Leaders,docs/09-rite-of-passage/rite-of-passage-pack.md,Event information,Protected leader area,HR-001 safeguarding; HR-002 legal; HR-003 medical; HR-004 theology; HR-006 girls content,Needs expert review,Safety Lead,Human Review HR-001 through HR-006,Use approved high-level framing only.,Operational detail and activity risks remain restricted.,,No activity instructions public before review.
WCR-011,Girls programme content,Leaders,docs/06-weekly-sessions/girls/,Programme content,Protected leader area,HR-006 girls programme content; HR-004 theology,Needs content review,Youth Track Lead,Girls Programme Content Review Packet,Display only approved or review-labelled content.,Draft gaps stay explicit; no invented sessions.,,HR-006 must close before publication.
