inventory_id,relative_path,functional_area,reason,recommended_handling
SRC-000005,REDACTED-SENSITIVE-SOURCE/SRC-000005.docx,Onboarding,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000006,REDACTED-SENSITIVE-SOURCE/SRC-000006.xlsx,Administration,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000016,REDACTED-SENSITIVE-SOURCE/SRC-000016.pptx,Kickoff camp,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000031,REDACTED-SENSITIVE-SOURCE/SRC-000031.pptx,Compass Evening,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000032,REDACTED-SENSITIVE-SOURCE/SRC-000032.pdf,Rite of passage,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000033,REDACTED-SENSITIVE-SOURCE/SRC-000033.pdf,Rite of passage,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000034,REDACTED-SENSITIVE-SOURCE/SRC-000034.pdf,Rite of passage,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000041,REDACTED-SENSITIVE-SOURCE/SRC-000041.xlsx,Rite of passage,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000046,REDACTED-SENSITIVE-SOURCE/SRC-000046.pdf,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000047,REDACTED-SENSITIVE-SOURCE/SRC-000047.xlsx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000048,REDACTED-SENSITIVE-SOURCE/SRC-000048.jpeg,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000049,REDACTED-SENSITIVE-SOURCE/SRC-000049.jpeg,Kickoff camp,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000053,REDACTED-SENSITIVE-SOURCE/SRC-000053.xlsx,Rite of passage,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000056,REDACTED-SENSITIVE-SOURCE/SRC-000056.xlsx,Administration,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000057,REDACTED-SENSITIVE-SOURCE/SRC-000057.xlsx,Other,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000060,REDACTED-SENSITIVE-SOURCE/SRC-000060.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000061,REDACTED-SENSITIVE-SOURCE/SRC-000061.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000062,REDACTED-SENSITIVE-SOURCE/SRC-000062.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000063,REDACTED-SENSITIVE-SOURCE/SRC-000063.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000064,REDACTED-SENSITIVE-SOURCE/SRC-000064.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000065,REDACTED-SENSITIVE-SOURCE/SRC-000065.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000066,REDACTED-SENSITIVE-SOURCE/SRC-000066.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000067,REDACTED-SENSITIVE-SOURCE/SRC-000067.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000068,REDACTED-SENSITIVE-SOURCE/SRC-000068.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000069,REDACTED-SENSITIVE-SOURCE/SRC-000069.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000073,REDACTED-SENSITIVE-SOURCE/SRC-000073.pdf,Compass Evening,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000076,REDACTED-SENSITIVE-SOURCE/SRC-000076.xlsx,Administration,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000077,REDACTED-SENSITIVE-SOURCE/SRC-000077.xlsx,Rite of passage,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000083,REDACTED-SENSITIVE-SOURCE/SRC-000083.docx,Onboarding,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000084,REDACTED-SENSITIVE-SOURCE/SRC-000084.xlsx,Administration,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000094,REDACTED-SENSITIVE-SOURCE/SRC-000094.pptx,Kickoff camp,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000109,REDACTED-SENSITIVE-SOURCE/SRC-000109.pptx,Compass Evening,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000110,REDACTED-SENSITIVE-SOURCE/SRC-000110.pdf,Rite of passage,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000111,REDACTED-SENSITIVE-SOURCE/SRC-000111.pdf,Rite of passage,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000112,REDACTED-SENSITIVE-SOURCE/SRC-000112.pdf,Rite of passage,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000119,REDACTED-SENSITIVE-SOURCE/SRC-000119.xlsx,Rite of passage,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000124,REDACTED-SENSITIVE-SOURCE/SRC-000124.pdf,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000125,REDACTED-SENSITIVE-SOURCE/SRC-000125.xlsx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000126,REDACTED-SENSITIVE-SOURCE/SRC-000126.jpeg,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000127,REDACTED-SENSITIVE-SOURCE/SRC-000127.jpeg,Kickoff camp,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000128,REDACTED-SENSITIVE-SOURCE/SRC-000128.docx,Onboarding,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000129,REDACTED-SENSITIVE-SOURCE/SRC-000129.xlsx,Administration,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000132,REDACTED-SENSITIVE-SOURCE/SRC-000132.docx,Other,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000133,REDACTED-SENSITIVE-SOURCE/SRC-000133.docx,Other,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000134,REDACTED-SENSITIVE-SOURCE/SRC-000134.docx,Other,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000135,REDACTED-SENSITIVE-SOURCE/SRC-000135.docx,Other,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000136,REDACTED-SENSITIVE-SOURCE/SRC-000136.docx,Other,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000137,REDACTED-SENSITIVE-SOURCE/SRC-000137.docx,Other,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000138,REDACTED-SENSITIVE-SOURCE/SRC-000138.docx,Other,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000139,REDACTED-SENSITIVE-SOURCE/SRC-000139.docx,Other,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000140,REDACTED-SENSITIVE-SOURCE/SRC-000140.docx,Other,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000141,REDACTED-SENSITIVE-SOURCE/SRC-000141.docx,Other,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000142,REDACTED-SENSITIVE-SOURCE/SRC-000142.docx,Other,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000143,REDACTED-SENSITIVE-SOURCE/SRC-000143.docx,Other,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000144,REDACTED-SENSITIVE-SOURCE/SRC-000144.docx,Other,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000145,REDACTED-SENSITIVE-SOURCE/SRC-000145.docx,Other,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000146,REDACTED-SENSITIVE-SOURCE/SRC-000146.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000147,REDACTED-SENSITIVE-SOURCE/SRC-000147.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000148,REDACTED-SENSITIVE-SOURCE/SRC-000148.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000149,REDACTED-SENSITIVE-SOURCE/SRC-000149.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000150,REDACTED-SENSITIVE-SOURCE/SRC-000150.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000151,REDACTED-SENSITIVE-SOURCE/SRC-000151.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000152,REDACTED-SENSITIVE-SOURCE/SRC-000152.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000153,REDACTED-SENSITIVE-SOURCE/SRC-000153.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000154,REDACTED-SENSITIVE-SOURCE/SRC-000154.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000155,REDACTED-SENSITIVE-SOURCE/SRC-000155.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000156,REDACTED-SENSITIVE-SOURCE/SRC-000156.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000157,REDACTED-SENSITIVE-SOURCE/SRC-000157.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000158,REDACTED-SENSITIVE-SOURCE/SRC-000158.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000159,REDACTED-SENSITIVE-SOURCE/SRC-000159.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000160,REDACTED-SENSITIVE-SOURCE/SRC-000160.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000161,REDACTED-SENSITIVE-SOURCE/SRC-000161.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000163,REDACTED-SENSITIVE-SOURCE/SRC-000163.docx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000171,REDACTED-SENSITIVE-SOURCE/SRC-000171.xlsx,Administration,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
SRC-000172,REDACTED-SENSITIVE-SOURCE/SRC-000172.xlsx,Finance,"Likely contains personal, financial or private operational data; committed path is redacted.",Do not commit raw content. Use redacted summaries or synthetic templates only.
