Capture ID,Goal area,Related gate / decision,Required decision or input,Source surface,Accountable role,Required authority / reviewer,Capture status,Name or decision to enter,Decision date,Evidence link,Conditions / changes,Update target after accepted,Non-approval boundary
LDC-001,Appoint owners,GATE-001; DEC-003,Named Journey Lead and backup confirmed by programme authority.,Owner Appointment Routing; Leader Roster; Owner Appointment Confirmation Templates,Journey Lead,Programme governance authority,Needs owner decision,,,,,Leader Roster; Owner Appointment Routing; DEC-003; GATE-001,"Does not appoint a leader until real name, backup, authority, date and evidence are recorded."
LDC-002,Appoint owners,GATE-001; DEC-003,"Functional leads and backups confirmed for administration, logistics, sessions, camp, youth, pastoral, safety, finance, communications and knowledge management.",Owner Appointment Routing; Leader Roster; Owner Appointment Confirmation Templates,Journey Lead,Programme governance authority,Needs owner decision,,,,,Leader Roster; Owner Appointment Routing; GATE-001,Does not copy private source names or approve role assignments without authorized evidence.
LDC-003,Governance authority,GATE-001; HR-005; DEC-003,"Final decision rights, escalation path and operating authority approved.",Governance Authority Review; Owner Appointment and Authority Packet,Oversight Lead,Programme governance authority,Needs authority approval,,,,,Governance Authority Review; Human Review HR-005; DEC-003; GATE-001,Does not approve HR-005 or final authority without programme governance decision evidence.
LDC-004,Human review,GATE-002; HR-001,Safeguarding and child-protection material reviewed and outcome recorded.,Safeguarding Review Packet; Human Review Routing; Human Review,Safety Lead,Qualified safeguarding professional,Needs reviewer decision,,,,,Human Review HR-001; Gate Evidence Checklist; GATE-002,Does not approve safeguarding material without qualified reviewer evidence and conditions.
LDC-005,Human review,GATE-002; HR-002,Local legal compliance reviewed and outcome recorded.,Legal Compliance Review Packet; Human Review Routing; Human Review,Oversight Lead,Qualified legal advisor,Needs reviewer decision,,,,,Human Review HR-002; Gate Evidence Checklist; GATE-002,Does not approve local legal compliance without qualified legal review evidence.
LDC-006,Human review,GATE-002; HR-003,Medical readiness and medication processes reviewed and outcome recorded.,Medical Readiness Review Packet; Human Review Routing; Human Review,Safety Lead,Qualified medical professional,Needs reviewer decision,,,,,Human Review HR-003; Gate Evidence Checklist; GATE-002,Does not approve medical processes without qualified medical review evidence.
LDC-007,Human review,GATE-002; HR-004,Theological and biblical content reviewed and outcome recorded.,Theology Review Packet; Human Review Routing; Human Review,Pastoral Lead,Programme theological authority,Needs reviewer decision,,,,,Human Review HR-004; Gate Evidence Checklist; GATE-002,Does not approve theology or programme claims without programme authority evidence.
LDC-008,Human review,GATE-002; HR-005,Operating authority reviewed and outcome recorded.,Operating Authority Review Packet; Governance Authority Review; Human Review,Oversight Lead,Programme governance authority,Needs reviewer decision,,,,,Human Review HR-005; Governance Authority Review; GATE-002,Does not approve final authority without programme governance evidence.
LDC-009,Human review,GATE-002; HR-006,Girls programme and rite-of-passage content reviewed and outcome recorded.,Girls Programme Content Review Packet; Human Review Routing; Human Review,Youth Track Lead,Programme content owner,Needs reviewer decision,,,,,Human Review HR-006; Gate Evidence Checklist; GATE-002,Does not invent or approve girls programme content without content-owner evidence.
LDC-010,Human review,GATE-002; HR-007,"Third-party benchmark, Alpha reference and copyright boundaries reviewed and outcome recorded.",Copyright Boundary Review Packet; Alpha-style benchmark brief; Human Review,Communications Lead,Copyright/legal reviewer,Needs reviewer decision,,,,,Human Review HR-007; Website Content Review; GATE-002; GATE-006,Does not permit Alpha asset copying or third-party media use without explicit approval.
LDC-011,Pilot real cycle,GATE-003; TASK-013,"Small leadership-team pilot scheduled with facilitator, participants and scope.",Pilot Cycle Plan; Pilot Run Sheet and Debrief Packet,Journey Lead,Journey leadership team,Needs pilot run,,,,,Pilot Cycle Plan; Event Readiness; TASK-013,Does not prove pilot completion or readiness until the real pilot and debrief are recorded.
LDC-012,Pilot real cycle,GATE-003; TASK-013,"Pilot debrief records unclear steps, duplicated work, missing resources, unnecessary fields and accepted changes.",Pilot Log; Leadership Review Outputs; Pilot Evidence Capture Templates,Journey Lead,Journey leadership team,Needs debrief,,,,,Pilot Log; Leadership Review Outputs; Gate Evidence Checklist; GATE-003,Does not close GATE-003 until accepted changes and evidence are recorded.
LDC-013,Replace synthetic examples,GATE-004; DEC-005; TASK-014,Restricted-data placement approved for real local information before migration.,Restricted Data Placement Approval Templates; Restricted Data Replacement Checklist,Administration Lead,Accountable data owner,Needs data owner approval,,,,,DEC-005; TASK-014; Gate Evidence Checklist; GATE-004,"Does not move personal, participant, medical, financial or private data into shared surfaces."
