"Communication ID","Gate(s)","Review checkpoint","Audience role(s)","Message purpose","Channel","Template / message prompt","Required links / attachments","Sender role","Communication status","Target send date","Sent date","Response / evidence link","Notes"
"COMM-001","GATE-001; GATE-002; GATE-003; GATE-004; GATE-005; GATE-006","SCHED-001 / AG-001 to AG-003 / OUT-001","Journey Lead; Oversight Lead; Knowledge Management Lead","Invite leaders to confirm the gate map, privacy boundaries and review order.","Meeting invite","Schedule the gate-alignment meeting and ask attendees to review the six launch gates before the session.","Launch Gates; Gate Evidence Checklist; Leadership Review Schedule; Leadership Review Agenda; Leadership Review Outputs","Journey Lead","Draft needed","","","","Orientation only; record output in OUT-001 after the session."
"COMM-002","GATE-001","SCHED-002 / AG-004 to AG-006 / OUT-002","Programme owners; authorized source reviewers","Request owner-evidence review and nomination routing for required Journey roles.","Email","Ask authorized reviewers to inspect private source evidence and route confirmed nominations without copying private names into shared surfaces.","Owner Evidence Review; Owner Appointment Routing; Owner Appointment and Authority Packet; Gate Evidence Checklist EVID-001 to EVID-003","Journey Lead","Draft needed","","","","Real names belong only in approved fields after programme-owner confirmation."
"COMM-003","GATE-001; GATE-002","SCHED-003 / AG-007 to AG-009 / OUT-003","Programme governance authority; Oversight Lead","Invite authority reviewers to confirm final decision rights and escalation boundaries.","Meeting invite","Ask authority reviewers to review governance scope, escalation gaps and evidence routing before any authority fields are closed.","Governance Authority Review; DEC-003; Human Review HR-005; Gate Evidence Checklist EVID-003 and EVID-008","Oversight Lead","Draft needed","","","","This invite cannot approve HR-005 or owner appointments by itself."
"COMM-004","GATE-002","HR-001","Qualified safeguarding reviewer","Request safeguarding review decision and conditions.","Email","Ask the reviewer to inspect the HR-001 packet and record the decision, authority, date and conditions in Human Review after sign-off.","Human Review Routing HR-001; Human Review; HUMAN-REVIEW-REQUIRED.md; review packet folder","Oversight Lead","Draft needed","","","","No safeguarding approval is implied by sending the request."
"COMM-005","GATE-002","HR-002","Qualified local-law reviewer","Request local legal review decision and conditions.","Email","Ask the reviewer to inspect the HR-002 packet and record the decision, authority, date and conditions in Human Review after sign-off.","Human Review Routing HR-002; country legal review checklist; Human Review; review packet folder","Oversight Lead","Draft needed","","","","Do not treat template wording as legal advice."
"COMM-006","GATE-002","HR-003","Qualified medical-process reviewer","Request medical-process review decision and conditions.","Email","Ask the reviewer to inspect the HR-003 packet and record the decision, authority, date and conditions in Human Review after sign-off.","Human Review Routing HR-003; medical readiness resources; Human Review; review packet folder","Safety Lead","Draft needed","","","","Do not add medical details or emergency contacts to this queue."
"COMM-007","GATE-002","HR-004","Qualified theological reviewer","Request theology and programme-intent review decision.","Email","Ask the reviewer to inspect the HR-004 packet and record the decision, authority, date and conditions in Human Review after sign-off.","Human Review Routing HR-004; programme principles; Human Review; review packet folder","Pastoral Lead","Draft needed","","","","Theology outcomes remain open until qualified sign-off is recorded."
"COMM-008","GATE-001; GATE-002; GATE-006","HR-005","Programme operating authority reviewer","Request operating-authority review for final decision rights and publication authority.","Meeting invite","Ask the authority reviewer to inspect HR-005, DEC-003 and DEC-006 dependencies before any gate or publication authority is closed.","Human Review Routing HR-005; Governance Authority Review; DEC-003; DEC-006; publication checklist","Oversight Lead","Draft needed","","","","Publication remains blocked while HR-005 is open."
"COMM-009","GATE-002","HR-006","Qualified girls programme reviewer","Request girls programme content and fidelity review decision.","Email","Ask the reviewer to inspect the HR-006 packet and record the decision, authority, date and conditions in Human Review after sign-off.","Human Review Routing HR-006; girls programme pack; Human Review; review packet folder","Youth Track Lead","Draft needed","","","","Keep content conditions visible before any production website use."
"COMM-010","GATE-002; GATE-005; GATE-006","HR-007","Qualified copyright reviewer","Request copyright and reuse-boundary review decision.","Email","Ask the reviewer to inspect copied, summarized and generated materials before anything is made public or broadly shared.","Human Review Routing HR-007; website publication checklist; Website Access Review; Human Review","Knowledge Management Lead","Draft needed","","","","No Alpha-owned assets should be copied into production without approval."
"COMM-011","GATE-003","SCHED-005 / AG-013 to AG-015 / OUT-005","Journey leadership team","Invite pilot planners to define the smallest leadership-team pilot and readiness threshold.","Meeting invite","Ask the team to confirm pilot scope, evidence categories and minimum preflight checks before the pilot is run.","Pilot Cycle Plan; Pilot Log; Event Readiness; Gate Evidence Checklist EVID-011 to EVID-014","Journey Lead","Draft needed","","","","Pilot planning only; no participant/private data in the invite."
"COMM-012","GATE-003","SCHED-006 / AG-016 to AG-018 / OUT-006","Journey leadership team; Oversight Lead","Request pilot debrief after real observations exist.","Meeting invite","After the pilot has been run, ask leaders to categorize observations and route accepted changes or review-required issues.","Pilot Log; Pilot Cycle Plan PIL-004 to PIL-012; Leadership Review Outputs OUT-006","Journey Lead","Blocked","","","","Blocked until a real pilot run produces non-sensitive observations."
"COMM-013","GATE-004","SCHED-007 / AG-019 to AG-021 / OUT-007","Administration Lead; accountable data owner","Request restricted-data replacement approval path.","Email","Ask the data owner to approve minimum necessary fields, storage location and access group before replacing synthetic examples.","Restricted Data Replacement Checklist; DEC-005; TASK-014; privacy and data rules","Administration Lead","Draft needed","","","","Do not migrate restricted data from this queue."
"COMM-014","GATE-005","SCHED-008 / AG-022 to AG-024 / OUT-008","Programme owners; website lead; Oversight Lead","Request website access-model decision review.","Meeting invite","Ask decision-makers to compare leaders-only, partly public/protected and public/authenticated models, then record authority-approved conditions.","Website Access Review; Website Access Model Decision Brief; DEC-004; publication checklist","Oversight Lead","Draft needed","","","","No production sharing or publishing is authorized by this invite."
"COMM-015","GATE-006","SCHED-009 / AG-025 to AG-027 / OUT-009","Knowledge Management Lead; Oversight Lead; website owner","Request publication prerequisite check and go/no-go review only after prerequisite approvals exist.","Meeting invite","When access, authority, content and copyright approvals are recorded, schedule the final production go/no-go review.","Website publication checklist; DEC-004; DEC-006; HR-005; HR-007; Event Readiness","Knowledge Management Lead","Blocked","","","","Do not send while GATE-005, HR-005, HR-007 or content-review conditions are open."
"COMM-016","All gates","Weekly launch-gate follow-up","Functional leads","Send a short status digest of open actions, due dates and missing evidence.","Email","Summarize Dashboard open counts, Launch Gates status and the next three communications needing action.","Dashboard row 22; Launch Gates; Leadership Review Communications","Communications Lead","Draft needed","","","","Keep the digest role-only and omit private contact details."
