Acceptance ID,TIQ ID,Canonical candidate,Source / draft surface,Reviewer / authority,Acceptance status,Evidence required,Accepted output link,Replacement target,Source preservation rule,Restricted-data check,Website / publication dependency,Quality evidence,Non-approval boundary
TAC-001,TIQ-001,One-page launch pathway and gate-review packet index,START HERE; Start a Journey Launch Pack; Launch Gate Review Pack,Journey leadership team,Needs draft output,"Draft pathway, source links, gate boundary and reviewer note.",,START HERE; 00 Start Here; operating hub Start view,Keep START HERE and detailed packs linked until accepted.,No restricted data,GATE-006 remains blocked until publication authority approves.,Quality rows 39-41 and 58-59,"Does not close launch gates, approve schedule or broaden access."
TAC-002,TIQ-002,Role assignment workbook view plus concise appointment template,Leader Roster; Owner Appointment Routing; owner confirmation templates,Programme governance authority,Needs draft output,"Approved role fields, backup rules, authority evidence and roster update path.",,Leader Delegation tracker; Governance and Roles pack; Team view,Use role placeholders until real appointments are authorized.,Real names require approval,GATE-001 and HR-005 remain open until accepted evidence exists.,"Quality rows 34, 56 and 58-59","Does not appoint leaders, approve authority or store contact details."
TAC-003,TIQ-003,Leader training checklist and reusable briefing template,Leader Training Pack; message templates; owner-readiness trackers,Programme content owner,Needs draft output,"Checklist fields, briefing wording, review labels and training-readiness evidence.",,Leader Training pack; Template Bundles view,Keep theological and safeguarding material review-required until accepted.,Synthetic examples only,"HR-001, HR-004 and HR-005 remain prerequisites.",Human Review evidence; Quality rows 58-59,"Does not approve curriculum, theology, safeguarding or final training readiness."
TAC-004,TIQ-004,Participant onboarding checklist and registration communications pack,Participant Onboarding Pack; registration process; communications templates,Accountable data owner,Needs draft output,"Minimum fields, privacy prompt, guardian communication and approved storage target.",,Participant Onboarding pack; Administration workbook,Use synthetic examples until data owner approves real local fields.,Data owner approval required,DEC-005 and TASK-014 remain prerequisites before real data use.,Restricted source rows; Quality rows 58-59,Does not collect participant data or approve restricted-data placement.
TAC-005,TIQ-005,Session facilitation template with review and localization prompts,Weekly Session Library; session templates; review forms,Programme content owner,Needs draft output,"Session flow, localization prompts, review labels and pilot-feedback routing.",,Weekly Session Library; Template Bundles view,Keep theology-sensitive and gender-specific content behind review gates.,Synthetic examples only,HR-004 and HR-006 remain prerequisites before public/protected release.,Human Review and pilot evidence rows; Quality rows 58-59,"Does not approve session content, gender-specific content or theology."
TAC-006,TIQ-006,Event run sheet and safety-ready checklist family,Kickoff Camp Pack; Compass Evening Pack; Rite of Passage Pack,Journey leadership team,Needs draft output,"Run sheet, logistics split, safety evidence and review-required content labels.",,Kickoff Camp; Compass Evening; Rite of Passage folders,Keep sensitive programme and event details restricted until accepted.,Safety review required,"HR-001, HR-003, HR-004 and HR-006 remain prerequisites.",Human Review packets and Event Readiness; Quality rows 58-59,"Does not approve event readiness, safeguarding, medical or programme content."
TAC-007,TIQ-007,Admin control workbook with minimum necessary fields,"Attendance, participant status, consent and medical-form trackers",Accountable data owner,Needs draft output,"Approved field list, restricted storage target, retention rule and source-map note.",,Administration workbook; Resource Library Index,Keep real participant fields out until data-owner approval.,Data owner approval required,DEC-005 and TASK-014 remain prerequisites.,Restricted-source count and privacy checks; Quality rows 58-59,Does not authorize real data migration or access expansion.
TAC-008,TIQ-008,Finance control workbook and short approval guide,"Budget, payment schedule, expense and subsidy templates",Accountable data owner,Needs draft output,"Synthetic budget fields, payment boundary, approval path and restricted-storage rule.",,Finance workbook; Finance guide,"Do not import banking, payment or reimbursement records.",Financial data restricted,Finance review and data-owner approval remain prerequisites.,Privacy and finance quality checks; Quality rows 58-59,"Does not approve budgets, payments, banking data handling or reimbursements."
TAC-009,TIQ-009,Logistics workbook with checkout and condition workflow,"Equipment register, checkout, purchasing, storage and transport templates",Journey leadership team,Needs draft output,"Equipment state fields, handoff rule, purchase boundary and private-contact exclusion.",,Logistics and Equipment workbook,"Keep supplier, transport and contact details out until access is accepted.",Private contacts excluded,Access model and logistics approval remain prerequisites.,Canonical Resources and privacy checks; Quality rows 58-59,"Does not approve purchases, suppliers, transport or private contact storage."
TAC-010,TIQ-010,Safety workbook and review-required policy template family,"Safety pack, risk assessments, medical readiness and incident templates",Qualified safeguarding professional,Needs draft output,"Operational checklist split from policy decisions, qualified-review evidence and condition routing.",,Safety and Safeguarding pack; Human Review packets,"Keep all safeguarding, legal and medical decisions review-gated.",Safety review required,"HR-001, HR-002 and HR-003 remain prerequisites.",Human Review HR-001 through HR-003; Quality rows 58-59,"Does not approve safety policy, medical process, legal compliance or safeguarding decisions."
TAC-011,TIQ-011,"Message family with audience, trigger, approval and send-status fields",Leadership Review Communications; message templates; participant examples,Journey leadership team,Needs draft output,"Audience, trigger, approval, send-status and no-contact-list handling.",,Communications pack; Template Bundles view,Do not store contact details or send messages from this checklist.,No contact details,Message sending and approval remain outside the shared tracker.,Communications quality evidence; Quality rows 58-59,"Does not send messages, upload contact lists or approve commitments."
TAC-012,TIQ-012,Quality improvement workbook and post-event review template,"Journey readiness review, event quality checklist, feedback and impact templates",Journey leadership team,Needs draft output,"Continuous-improvement loop, anonymized feedback rule, accepted-change routing and output owner.",,Quality and Impact pack; Resource Library dashboard,Keep feedback synthetic or anonymized until data-owner approval.,Data owner approval required,Pilot evidence and leadership outputs remain prerequisites.,Pilot evidence and leadership outputs; Quality rows 58-59,"Does not approve impact claims, participant data use or public reporting."
